Time,Rx_ID,Rx_Delay,Rx_Gap,Inst_Tp,Avg_Tp,LossRate
1.027,1,0.00482414,0,973.71,37037,0
1.054,2,0.0118241,0.027,0,37037,0
1.072,3,0.00982414,0.018,0,41666.7,0
1.101,4,0.0188241,0.029,0,39604,0
1.115,5,0.0128241,0.014,0,43478.3,0
1.162,6,0.0398241,0.047,37037,37037,0
1.162,7,0.0198241,0,0,43209.9,0
1.177,8,0.0148241,0.015,0,45197.7,0
1.198,9,0.0158241,0.021,0,45454.5,0
1.232,10,0.0298241,0.034,0,43103.4,0
1.232,11,0.00982414,0,0,47413.8,0
1.256,12,0.0138241,0.024,0,46875,0
1.279,13,0.0168241,0.023,59829.1,46595,0
1.291,14,0.00882414,0.012,0,48110,0
1.337,15,0.0348241,0.046,0,44510.4,0
1.347,16,0.0248241,0.01,0,46109.5,0
1.347,17,0.00482414,0,0,48991.4,0
1.397,18,0.0348241,0.05,42372.9,45340.1,0
1.397,19,0.0148241,0,0,47858.9,0
1.597,20,0.194824,0.2,10000,33500.8,0
1.597,21,0.174824,0,0,35175.9,0
1.597,22,0.154824,0,0,36850.9,0
1.625,23,0.162824,0.028,0,36800,0
1.625,24,0.142824,0,0,38400,0
1.628,25,0.125824,0.003,0,39808.9,0
1.628,26,0.105824,0,0,41401.3,0
1.664,27,0.121824,0.036,0,40662.7,0
1.669,28,0.106824,0.005,0,41853.5,0
1.669,29,0.0868241,0,0,43348.3,0
1.737,30,0.134824,0.068,71428.6,40705.6,0
1.753,31,0.130824,0.016,0,41168.7,0
1.753,32,0.110824,0,0,42496.7,0
1.766,33,0.103824,0.013,0,43080.9,0
1.766,34,0.0838241,0,0,44386.4,0
1.811,35,0.108824,0.045,0,43156.6,0
1.811,36,0.0888241,0,0,44389.6,0
1.819,37,0.0768241,0.008,0,45177,0
1.819,38,0.0568241,0,0,46398,0
1.832,39,0.0498241,0.013,0,46875,0
1.832,40,0.0298241,0,0,48076.9,0
1.84,41,0.0178241,0.008,106796,48809.5,0
1.889,42,0.0468241,0.049,0,47244.1,0
1.889,43,0.0268241,0,0,48369,0
1.889,44,0.00682414,0,0,49493.8,0
1.946,45,0.0438241,0.057,37735.8,47568.7,0
1.946,46,0.0238241,0,0,48625.8,0
1.957,47,0.0148241,0.011,0,49111.8,0
1.971,48,0.00882414,0.014,0,49433.6,0
1.994,49,0.0118241,0.023,0,49295.8,0
2.007,50,0.00482414,0.013,0,49652.4,0
2.087,51,0.0648241,0.08,42553.2,46918.1,0
2.087,52,0.0448241,0,0,47838.1,0
2.175,53,0.112824,0.088,0,45106.4,0
2.234,54,0.151824,0.059,20408.2,43760.1,0
2.234,55,0.131824,0,0,44570.5,0
2.251,56,0.128824,0.017,0,44764.2,0
2.251,57,0.108824,0,0,45563.5,0
2.326,58,0.163824,0.075,0,43740.6,0
2.326,59,0.143824,0,0,44494.7,0
2.368,60,0.165824,0.042,44776.1,43859.6,0
2.368,61,0.145824,0,0,44590.6,0
2.4,62,0.157824,0.032,0,44285.7,0
2.4,63,0.137824,0,0,45000,0
2.433,64,0.150824,0.033,0,44661.5,0
2.433,65,0.130824,0,0,45359.4,0
2.433,66,0.110824,0,0,46057.2,0
2.549,67,0.206824,0.116,38674,43253.7,0
2.549,68,0.186824,0,0,43899.3,0
2.591,69,0.208824,0.042,0,43369,0
2.618,70,0.215824,0.027,0,43263.3,0
2.625,71,0.202824,0.007,0,43692.3,0
